task_id,feedback_variant,final_conf,success,primary_category,secondary_tags,repair_regression,over_repair,n_attempts,violation_types_raw,corpus,delta_vs_test_only,mechanism_role,ir_failed
HardSynthetic.HardCase001,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase002,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase003,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase005,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.875,ir_rescues,True
HardSynthetic.HardCase006,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase004,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.958333,ir_rescues,True
HardSynthetic.HardCase007,semantic_ir,0.875,False,RepairRegression,['Arithmetic'],True,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase008,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase010,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.958333,ir_rescues,True
HardSynthetic.HardCase009,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase012,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.875,ir_rescues,True
HardSynthetic.HardCase013,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase011,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase014,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase015,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase016,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase017,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase018,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase020,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase019,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase022,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase021,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase024,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase023,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase025,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase028,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.875,ir_rescues,True
HardSynthetic.HardCase027,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase026,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase029,semantic_ir,1.0,True,Other,[],False,False,3,[],run_feedback_v2/E6,0.0,tie,False
HardSynthetic.HardCase030,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase033,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase032,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase034,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase036,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase035,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase037,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.333333,ir_rescues,True
HardSynthetic.HardCase038,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase039,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase040,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase041,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase042,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase043,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase044,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase045,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase046,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase047,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.958333,ir_rescues,True
HardSynthetic.HardCase050,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase048,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase049,semantic_ir,1.0,True,Other,[],False,False,3,[],run_feedback_v2/E6,0.0,tie,False
HardSynthetic.HardCase051,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase052,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase053,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase054,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase055,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase056,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase058,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase057,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase060,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase061,semantic_ir,0.875,False,RepairRegression,['Arithmetic'],True,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase059,semantic_ir,0.9583333333333334,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase063,semantic_ir,0.9583333333333334,False,RepairRegression,['Arithmetic'],True,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase062,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase065,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.875,ir_rescues,True
HardSynthetic.HardCase064,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase066,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase067,semantic_ir,0.0,False,RepairRegression,['Arithmetic'],True,False,3,['arithmetic'],run_feedback_v2/E6,-0.875,test_only_better,True
HardSynthetic.HardCase068,semantic_ir,0.0,False,RepairRegression,['Arithmetic'],True,True,3,['arithmetic'],run_feedback_v2/E6,-0.875,test_only_better,True
HardSynthetic.HardCase070,semantic_ir,0.8571428571428571,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase069,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase072,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase071,semantic_ir,0.75,False,RepairRegression,"['Arithmetic', 'Other']",True,True,3,"['arithmetic', 'output']",run_feedback_v2/E6,-0.125,test_only_better,True
HardSynthetic.HardCase073,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase075,semantic_ir,0.875,False,RepairRegression,['Arithmetic'],True,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase074,semantic_ir,1.0,True,Other,[],False,False,3,[],run_feedback_v2/E6,0.0,tie,False
HardSynthetic.HardCase076,semantic_ir,1.0,True,Other,[],False,False,3,[],run_feedback_v2/E6,0.0,tie,False
HardSynthetic.HardCase078,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase079,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase077,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase080,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase081,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase082,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase084,semantic_ir,0.875,False,RepairRegression,['Arithmetic'],True,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase083,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase085,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase087,semantic_ir,0.875,False,RepairRegression,['Arithmetic'],True,True,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase086,semantic_ir,0.875,False,Arithmetic,['Arithmetic'],False,False,3,['arithmetic'],run_feedback_v2/E6,0.0,tie,True
HardSynthetic.HardCase088,semantic_ir,1.0,True,Other,[],False,False,3,[],run_feedback_v2/E6,0.0,tie,False
